id,lang_tgt,severity,mqm_score,num_template_qs,num_srl_qs,num_diff_qs,num_atomic_qs,num_questions,num_mismatches,askqe_score
doc42_row163_row171,es,Minor,99,3,1,2,10,16,4,0.7966101694915254
doc12_row4258_row172,es,Minor,97,3,3,1,6,13,2,0.8775510204081632
doc71_row4109_row173,es,No Error,100,4,1,1,5,11,1,0.9591836734693877
doc12_row1625_row174,es,Minor,99,1,1,3,1,6,5,0.3
doc12_row4424_row175,es,Minor,99,1,3,3,3,10,4,0.6764705882352942
doc12_row1972_row176,es,No Error,100,3,2,4,7,16,7,0.6481481481481481
doc42_row553_row177,es,No Error,100,5,1,0,5,11,0,1.0
doc47_row2055_row178,es,No Error,100,3,1,2,5,11,1,0.9523809523809523
doc5_row4420_row179,es,Minor,99,0,1,2,3,6,3,0.6
doc5_row4962_row180,es,Minor,98,4,1,2,10,17,3,0.8666666666666667
doc12_row1630_row181,es,No Error,100,6,2,2,2,12,3,0.86
doc63_row4928_row182,es,Minor,99,0,1,1,5,7,3,0.6153846153846154
doc42_row975_row183,es,Major,62,1,1,4,5,11,4,0.7222222222222222
doc55_row4441_row184,es,No Error,100,5,3,0,7,15,1,0.9152542372881356
doc42_row1296_row185,es,Minor,99,3,1,2,10,16,5,0.6779661016949152
doc12_row1836_row186,es,No Error,100,4,5,4,8,21,6,0.7837837837837838
doc42_row4259_row187,es,Minor,98,24,5,4,17,50,8,0.8087431693989071
doc61_row127_row188,es,Major,95,1,4,4,2,11,6,0.5675675675675675
doc7_row1716_row189,es,No Error,100,0,1,1,2,4,1,0.8571428571428571
doc7_row3970_row190,es,Minor,98,0,1,0,4,5,0,1.0
doc42_row645_row191,es,Major,90,1,1,3,6,11,3,0.7894736842105263
doc61_row100_row192,es,Minor,97,2,4,4,6,16,4,0.75
doc71_row4027_row193,es,No Error,100,1,1,2,1,5,2,0.7333333333333333
doc12_row4254_row194,es,Minor,98,3,0,2,5,10,2,0.8787878787878788
doc72_row4154_row195,es,No Error,100,2,1,0,2,5,0,1.0
doc42_row1507_row196,es,No Error,100,2,1,0,1,4,0,1.0
doc55_row1069_row197,es,Major,85,0,1,0,3,4,0,1.0
doc42_row535_row198,es,Major,90,1,1,4,5,11,3,0.8333333333333334
doc7_row4919_row199,es,Minor,98,0,1,0,4,5,0,1.0
doc70_row2206_row200,fr,Major,95,2,1,0,3,6,0,1.0
doc70_row2005_row201,fr,Critical,75,2,1,4,7,14,6,0.6521739130434783
doc58_row279_row202,fr,No Error,100,0,1,0,3,4,0,1.0
doc43_row1100_row203,fr,Major,70,4,1,1,2,8,2,0.84375
doc68_row2060_row204,fr,Major,95,1,1,0,3,5,0,1.0
doc59_row2181_row205,fr,No Error,100,4,1,0,3,8,1,0.8787878787878788
doc60_row1886_row206,fr,Minor,99,2,1,2,3,8,4,0.6153846153846154
doc70_row2135_row207,fr,Major,95,4,5,1,5,15,3,0.8153846153846154
doc43_row1526_row208,fr,Major,90,4,1,4,2,11,8,0.3783783783783784
doc43_row1424_row209,fr,No Error,100,4,2,1,1,8,2,0.75
doc43_row2502_row210,fr,No Error,100,1,1,0,3,5,0,1.0
doc59_row2449_row211,fr,No Error,100,8,4,1,7,20,1,0.9764705882352941
doc70_row222_row212,fr,Critical,68,20,2,4,10,36,26,0.04918032786885246
doc43_row2365_row213,fr,Minor,99,1,2,2,5,10,3,0.8055555555555556
doc59_row2045_row214,fr,No Error,100,2,2,0,2,6,0,1.0
doc43_row2503_row215,fr,No Error,100,1,2,2,5,10,3,0.8055555555555556
doc58_row2355_row216,fr,No Error,100,0,1,0,3,4,0,1.0
doc70_row287_row217,fr,Minor,97,2,3,2,2,9,3,0.7096774193548387
doc43_row682_row218,fr,No Error,100,4,2,0,3,9,0,1.0
doc99_row2173_row219,fr,No Error,100,2,1,2,2,7,1,0.8636363636363636
doc70_row2143_row220,fr,Minor,98,3,3,2,6,14,4,0.7843137254901961
doc59_row4649_row221,fr,No Error,100,1,1,0,3,5,0,1.0
doc58_row1651_row222,fr,No Error,100,3,2,2,4,11,3,0.7843137254901961
doc99_row2443_row223,fr,No Error,100,3,1,4,6,14,3,0.8478260869565217
doc9_row4624_row224,fr,Major,95,0,1,2,5,8,3,0.7142857142857143
doc70_row1874_row225,fr,No Error,100,2,1,4,1,8,5,0.48148148148148145
doc9_row2430_row226,fr,No Error,100,4,1,4,5,14,6,0.6818181818181818
doc9_row2161_row227,fr,Minor,96,0,1,0,3,4,0,1.0
doc59_row2318_row228,fr,No Error,100,2,1,1,2,6,2,0.75
doc43_row2298_row229,fr,No Error,100,1,3,4,4,12,5,0.7
doc68_row264_row230,fr,Minor,97,2,1,4,2,9,3,0.7692307692307693
doc59_row2039_row231,fr,Minor,99,2,2,1,1,6,0,1.0
doc43_row998_row232,fr,Major,95,4,2,0,3,9,0,1.0
doc70_row2138_row233,fr,Major,93,3,3,4,8,18,3,0.8983050847457628
doc43_row1313_row234,fr,Major,95,9,1,0,5,15,0,1.0
doc68_row4671_row235,fr,No Error,100,3,1,0,6,10,0,1.0
doc70_row4605_row236,fr,Minor,99,2,3,2,2,9,2,0.8709677419354839
doc60_row2215_row237,fr,Minor,99,0,2,4,3,9,5,0.5862068965517241
doc70_row1873_row238,fr,No Error,100,6,3,1,8,18,2,0.8840579710144928
doc68_row237_row239,fr,No Error,100,1,2,3,5,11,3,0.7894736842105263
doc43_row995_row240,fr,Major,95,4,3,4,6,17,8,0.5192307692307693
doc60_row2349_row241,fr,Minor,98,0,2,4,3,9,5,0.5517241379310345
doc43_row790_row242,fr,Minor,99,11,2,0,6,19,1,0.9512195121951219
doc43_row1205_row243,fr,Major,95,15,0,0,9,24,4,0.8666666666666667
doc59_row2454_row244,fr,No Error,100,2,2,0,1,5,0,1.0
doc43_row2294_row245,fr,Major,95,1,1,0,4,6,0,1.0
doc9_row2089_row246,fr,Major,94,0,1,3,2,6,4,0.4444444444444444
doc99_row2103_row247,fr,Major,95,1,1,0,2,4,0,1.0
doc58_row2223_row248,fr,No Error,100,0,3,0,5,8,0,1.0
doc99_row2512_row249,fr,No Error,100,2,1,1,2,6,2,0.75
doc68_row213_row250,fr,No Error,100,3,1,0,6,10,0,1.0
doc43_row2096_row251,fr,Minor,99,1,2,1,5,9,3,0.7352941176470589
doc58_row4448_row252,fr,No Error,100,0,1,4,8,13,3,0.8636363636363636
doc70_row269_row253,fr,No Error,100,1,3,4,4,12,3,0.775
doc43_row1529_row254,fr,Major,95,3,1,4,2,10,4,0.6666666666666666
